Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-01,ADANIPORTS,EQ,355.75,357.0,365.35,341.4,351.0,348.8,353.73,6726316,237931230820000.0,65666.0,1277383,0.1898999999999999
2020-09-02,ADANIPORTS,EQ,348.8,352.95,363.5,344.1,360.1,359.9,355.8,5694675,202615298105000.0,66344.0,698568,0.1227
2020-09-03,ADANIPORTS,EQ,359.9,363.5,368.0,359.55,366.2,366.0,364.67,4286269,156306641505000.0,56888.0,849055,0.1981
2020-09-04,ADANIPORTS,EQ,366.0,363.4,363.4,351.1,354.2,353.0,357.2,7628188,272481690465000.0,81007.0,2395338,0.314
2020-09-07,ADANIPORTS,EQ,353.0,355.0,357.95,347.2,351.05,352.05,351.73,3344349,117631633090000.02,43113.0,476616,0.1425
2020-09-08,ADANIPORTS,EQ,352.05,352.7,355.95,343.55,345.1,345.6,351.07,2339457,82131919045000.0,39983.0,235382,0.1006
2020-09-09,ADANIPORTS,EQ,345.6,344.4,346.3,335.35,344.75,343.85,341.33,3413215,116502153965000.02,46303.0,291451,0.0853999999999999
2020-09-10,ADANIPORTS,EQ,343.85,346.0,348.95,336.6,340.85,341.6,343.55,3893126,133747572605000.0,68676.0,567642,0.1458
2020-09-11,ADANIPORTS,EQ,341.6,341.0,343.9,333.45,340.55,342.5,339.18,4656343,157934129425000.0,59984.0,483217,0.1038
2020-09-14,ADANIPORTS,EQ,342.5,345.0,353.6,343.45,351.5,351.65,349.42,4221864,147521215185000.0,61761.0,1094295,0.2592
2020-09-15,ADANIPORTS,EQ,351.65,355.1,356.8,351.0,351.7,352.65,353.6,2042343,72218064575000.0,34558.0,313441,0.1535
2020-09-16,ADANIPORTS,EQ,352.65,352.25,356.1,348.95,352.9,353.55,353.29,1998100,70590172220000.0,33098.0,315125,0.1577
2020-09-17,ADANIPORTS,EQ,353.55,352.0,355.5,345.0,346.45,346.1,349.86,2433213,85127326685000.0,42562.0,673612,0.2768
2020-09-18,ADANIPORTS,EQ,346.1,348.7,359.8,347.1,359.1,357.85,355.48,4963128,176429455315000.0,56741.0,1867503,0.3763
2020-09-21,ADANIPORTS,EQ,357.85,358.0,359.0,343.95,345.95,347.85,352.77,3086223,108874150945000.0,40089.0,656021,0.2126
2020-09-22,ADANIPORTS,EQ,347.85,347.85,348.35,327.15,331.65,332.3,333.76,4670215,155872359985000.0,58839.0,547361,0.1172
2020-09-23,ADANIPORTS,EQ,332.3,332.55,335.35,320.15,324.75,324.6,326.08,4281300,139606556145000.0,46563.0,1236961,0.2889
2020-09-24,ADANIPORTS,EQ,324.6,321.55,322.95,312.1,314.0,313.75,315.19,6857200,216129759860000.0,46293.0,3004974,0.4382
2020-09-25,ADANIPORTS,EQ,313.75,319.0,329.7,315.6,326.3,326.15,325.96,6282538,204786490375000.0,60879.0,871666,0.1387
2020-09-28,ADANIPORTS,EQ,326.15,327.8,343.2,327.8,340.8,339.55,338.94,4249775,144040683950000.0,52122.0,476252,0.1121
2020-09-29,ADANIPORTS,EQ,339.55,343.4,346.4,336.9,340.0,341.0,341.29,3490719,119134015355000.0,36554.0,596592,0.1709
2020-09-30,ADANIPORTS,EQ,341.0,340.55,346.55,330.0,344.4,341.75,338.41,2757175,93305729825000.0,34225.0,434674,0.1577
2020-10-01,ADANIPORTS,EQ,341.75,345.5,354.9,344.5,353.95,353.3,350.87,3004005,105402836410000.0,38850.0,373035,0.1242
2020-10-05,ADANIPORTS,EQ,353.3,355.9,358.0,348.45,349.5,350.35,355.17,11896462,422521020470000.0,39836.0,9020635,0.7583
2020-10-06,ADANIPORTS,EQ,350.35,356.0,364.5,354.85,362.45,362.9,361.25,7483578,270347090840000.0,87891.0,1330308,0.1778
2020-10-07,ADANIPORTS,EQ,362.9,362.55,368.75,359.0,359.25,360.65,363.05,4024902,146125313635000.0,45291.0,825573,0.2051
2020-10-08,ADANIPORTS,EQ,360.65,359.8,362.8,356.35,359.85,359.75,359.87,3036028,109258846859999.98,30626.0,595121,0.196
2020-10-09,ADANIPORTS,EQ,359.75,361.0,362.45,355.15,357.0,357.2,357.98,1988867,71197501415000.0,29409.0,362335,0.1822
2020-10-12,ADANIPORTS,EQ,357.2,359.1,362.85,355.05,358.95,357.65,358.06,3626399,129845182680000.0,36938.0,1484883,0.4095
2020-10-13,ADANIPORTS,EQ,357.65,357.65,358.65,348.4,348.6,349.9,353.75,2413111,85363573440000.0,31110.0,872948,0.3618
2020-10-14,ADANIPORTS,EQ,349.9,349.1,351.2,344.7,350.9,348.95,347.8,2363439,82199849100000.0,23097.0,829185,0.3508
2020-10-15,ADANIPORTS,EQ,348.95,350.6,353.85,341.25,342.55,342.8,348.32,2855273,99453501775000.0,36155.0,1109178,0.3885
2020-10-16,ADANIPORTS,EQ,342.8,344.35,354.75,341.95,352.0,349.95,346.89,2635081,91408356120000.0,32443.0,950108,0.3606
2020-10-19,ADANIPORTS,EQ,349.95,352.6,352.6,344.8,346.7,347.55,347.45,2181975,75812483165000.0,29201.0,821454,0.3765
2020-10-20,ADANIPORTS,EQ,347.55,346.7,352.3,345.65,349.0,348.95,348.31,1999765,69654485920000.01,27914.0,700933,0.3505
2020-10-21,ADANIPORTS,EQ,348.95,350.25,360.15,349.55,353.6,355.35,355.67,4398526,156444504125000.0,63592.0,1414671,0.3216
2020-10-22,ADANIPORTS,EQ,355.35,350.55,364.05,350.15,357.9,358.35,359.81,4506437,162147934065000.0,59737.0,882299,0.1957999999999999
2020-10-23,ADANIPORTS,EQ,358.35,360.0,369.0,357.65,363.05,364.35,365.85,6357073,232573783460000.0,65224.0,1082234,0.1702
2020-10-26,ADANIPORTS,EQ,364.35,366.0,373.9,360.35,360.9,363.7,368.41,7541567,277840313805000.03,107856.0,1125597,0.1493
2020-10-27,ADANIPORTS,EQ,363.7,360.2,366.2,351.0,363.05,364.4,358.14,5869581,210210387930000.0,60870.0,1342010,0.2286
2020-10-28,ADANIPORTS,EQ,364.4,363.0,370.0,352.0,353.0,353.65,361.96,3863941,139859452470000.0,47124.0,918691,0.2378
2020-10-29,ADANIPORTS,EQ,353.65,350.55,350.55,341.15,342.5,342.7,345.39,3346474,115583435390000.02,41704.0,591791,0.1768
2020-10-30,ADANIPORTS,EQ,342.7,345.2,362.7,343.2,358.0,359.85,357.09,12044260,430085838820000.0,100369.0,2503788,0.2079
2020-11-02,ADANIPORTS,EQ,359.85,360.0,362.7,351.2,357.65,356.9,357.8,9364431,335060201535000.0,143754.0,3592391,0.3836
2020-11-03,ADANIPORTS,EQ,356.9,362.0,362.65,347.2,352.55,353.65,352.36,7971473,280881275165000.0,146787.0,2659198,0.3336
2020-11-04,ADANIPORTS,EQ,353.65,367.65,369.5,349.6,361.55,361.1,358.45,17940352,643063449955000.0,135409.0,4389550,0.2447
2020-11-05,ADANIPORTS,EQ,361.1,366.05,374.65,364.3,368.5,368.65,367.43,16920686,621719931830000.0,81951.0,9077164,0.5365
2020-11-06,ADANIPORTS,EQ,368.65,368.65,375.9,365.8,371.05,371.1,370.47,7290106,270074255055000.03,56970.0,2404474,0.3298
2020-11-09,ADANIPORTS,EQ,371.1,375.0,376.0,366.0,366.95,367.05,368.53,7038841,259404996125000.0,49135.0,3523993,0.5006
2020-11-10,ADANIPORTS,EQ,367.05,370.7,374.5,364.15,366.4,366.75,370.24,6850175,253622820025000.0,88296.0,2734127,0.3990999999999999
2020-11-11,ADANIPORTS,EQ,366.75,366.75,372.45,365.25,371.75,371.6,370.12,4370366,161756958280000.0,56788.0,1498824,0.3429999999999999
2020-11-12,ADANIPORTS,EQ,371.6,373.0,375.6,366.1,368.0,368.05,369.57,4759659,175904696230000.0,43387.0,1820911,0.3826
2020-11-13,ADANIPORTS,EQ,368.05,367.5,370.4,362.7,365.2,365.5,366.25,4156320,152226538210000.0,47689.0,1488345,0.3581
2020-11-14,ADANIPORTS,EQ,365.5,369.0,369.0,363.0,364.5,366.1,367.03,444529,16315422155000.002,8224.0,213517,0.4803
2020-11-17,ADANIPORTS,EQ,366.1,368.5,386.75,366.25,378.4,379.65,376.87,11192618,421812227190000.0,108529.0,3818822,0.3412
2020-11-18,ADANIPORTS,EQ,379.65,382.0,395.2,382.0,391.9,391.1,390.19,15514329,605360431225000.0,159514.0,4974645,0.3206
2020-11-19,ADANIPORTS,EQ,391.1,390.0,392.7,379.6,381.4,381.9,387.28,6894431,267004835200000.0,71682.0,1824439,0.2646
2020-11-20,ADANIPORTS,EQ,381.9,381.0,382.65,373.0,375.95,375.85,377.05,5562369,209729571960000.0,90980.0,1373561,0.2469
2020-11-23,ADANIPORTS,EQ,375.85,375.85,379.35,370.3,375.4,375.15,374.66,4065424,152315712095000.0,49565.0,1050441,0.2584
2020-11-24,ADANIPORTS,EQ,375.15,378.0,402.0,376.0,391.9,392.25,395.17,19485370,770002544480000.0,200786.0,2329051,0.1195
2020-11-25,ADANIPORTS,EQ,392.25,396.3,404.7,384.4,397.9,398.95,395.9,18238080,722051904875000.0,186507.0,3695655,0.2026
2020-11-26,ADANIPORTS,EQ,398.95,400.8,413.0,395.65,410.45,410.15,404.31,12856261,519789224895000.0,141046.0,2513675,0.1955
2020-11-27,ADANIPORTS,EQ,410.15,411.0,416.0,408.2,412.0,411.55,411.67,10593353,436099270860000.06,103550.0,4012544,0.3788
2020-12-01,ADANIPORTS,EQ,411.55,415.0,426.0,412.0,423.9,423.8,420.33,9170159,385450853260000.0,100625.0,2295655,0.2503
2020-12-02,ADANIPORTS,EQ,423.8,424.9,442.0,420.35,437.5,438.2,433.96,13049398,566290595715000.0,140237.0,3050076,0.2337
2020-12-03,ADANIPORTS,EQ,438.2,442.0,444.5,433.05,435.85,435.8,439.93,10810399,475582565000000.0,97802.0,3437310,0.318
2020-12-04,ADANIPORTS,EQ,435.8,439.7,458.3,439.0,457.0,453.7,446.64,10271034,458743446195000.0,104783.0,1627912,0.1585
2020-12-07,ADANIPORTS,EQ,453.7,461.0,474.9,459.0,470.0,471.5,469.18,16140936,757305347015000.0,154105.0,1509290,0.0935
2020-12-08,ADANIPORTS,EQ,471.5,472.7,474.7,457.55,463.5,463.35,463.51,9218366,427277663455000.0,105341.0,2356232,0.2556
